,Unnamed: 0,MATNR,TYPE,VKORG,WAERS,UKURS,MATKL,KUNNR,ERDAT,UNIT,MENGE,RGITV,EXPRT
142,142,374,26,1001.0,2,1.0,1,74,201910,0,518.0,-2.5,-1.3
143,143,378,26,1001.0,2,1.0,1,74,201910,0,518.0,-2.5,-1.3
144,144,379,26,1001.0,2,1.0,1,74,201910,0,518.0,-2.5,-1.3
145,145,380,26,1001.0,2,1.0,1,67,201910,0,16000.0,-2.5,-1.3
146,146,381,26,1001.0,2,1.0,1,74,201910,0,630.0,-2.5,-1.3
147,147,389,0,2002.0,3,30.73,22,118,201910,5,3660.0,-2.5,-1.3
148,148,393,0,2002.0,3,30.73,23,118,201910,5,16800.0,-2.5,-1.3
149,149,395,15,2002.0,3,30.73,28,118,201910,1,1.0,-2.5,-1.3
150,150,407,0,1002.0,3,30.73,17,260,201910,10,300000.0,-2.5,-1.3
151,151,407,3,2002.0,3,30.73,17,128,201910,10,500000.0,-2.5,-1.3
152,152,407,4,2002.0,3,30.73,17,128,201910,10,320000.0,-2.5,-1.3
153,153,408,11,2002.0,3,30.73,25,125,201910,10,1000.0,-2.5,-1.3
154,154,409,11,2002.0,3,30.73,25,125,201910,10,120000.0,-2.5,-1.3
155,155,412,11,2002.0,3,30.73,30,125,201910,10,60000.0,-2.5,-1.3
156,156,413,26,1002.0,3,30.73,25,119,201910,10,600.0,-2.5,-1.3
157,157,416,11,1002.0,3,30.73,31,120,201910,10,30000.0,-2.5,-1.3
158,158,417,11,1002.0,3,30.73,31,120,201910,10,10000.0,-2.5,-1.3
159,159,418,11,1002.0,3,30.73,31,120,201910,10,15000.0,-2.5,-1.3
160,160,418,26,1002.0,3,30.73,31,120,201910,10,10000.0,-2.5,-1.3
161,161,420,0,1002.0,3,30.73,32,260,201910,10,36034.0,-2.5,-1.3
162,162,420,3,2002.0,3,30.73,32,128,201910,10,113530.0,-2.5,-1.3
163,163,421,0,1002.0,3,30.73,32,260,201910,10,60220.0,-2.5,-1.3
164,164,421,3,2002.0,3,30.73,32,128,201910,10,109357.0,-2.5,-1.3
165,165,421,4,2002.0,3,30.73,32,128,201910,10,79770.0,-2.5,-1.3
166,166,422,0,1002.0,3,30.73,32,260,201910,10,69450.0,-2.5,-1.3
167,167,422,3,2002.0,3,30.73,32,128,201910,10,164403.0,-2.5,-1.3
168,168,422,4,2002.0,3,30.73,32,128,201910,10,80405.0,-2.5,-1.3
169,169,423,0,1002.0,3,30.73,32,260,201910,10,34000.0,-2.5,-1.3
170,170,423,3,2002.0,3,30.73,32,128,201910,10,40000.0,-2.5,-1.3
171,171,423,4,2002.0,3,30.73,32,128,201910,10,30000.0,-2.5,-1.3
172,172,424,3,2002.0,3,30.73,32,128,201910,10,4000.0,-2.5,-1.3
173,173,425,0,1002.0,3,30.73,32,260,201910,10,400000.0,-2.5,-1.3
174,174,425,3,2002.0,3,30.73,32,128,201910,10,700000.0,-2.5,-1.3
175,175,425,4,2002.0,3,30.73,32,128,201910,10,460000.0,-2.5,-1.3
176,176,426,0,1002.0,3,30.73,17,260,201910,10,33000.0,-2.5,-1.3
177,177,426,3,2002.0,3,30.73,17,128,201910,10,36000.0,-2.5,-1.3
178,178,426,4,2002.0,3,30.73,17,128,201910,10,23200.0,-2.5,-1.3
179,179,427,0,1002.0,3,30.73,32,260,201910,10,82000.0,-2.5,-1.3
180,180,427,3,2002.0,3,30.73,32,124,201910,10,158000.0,-2.5,-1.3
181,181,427,4,2002.0,3,30.73,32,124,201910,10,14000.0,-2.5,-1.3
182,182,428,0,1002.0,3,30.73,32,260,201910,10,90000.0,-2.5,-1.3
183,183,428,3,2002.0,3,30.73,32,124,201910,10,180000.0,-2.5,-1.3
184,184,428,4,2002.0,3,30.73,32,124,201910,10,60000.0,-2.5,-1.3
185,185,429,0,1002.0,3,30.73,32,260,201910,10,110000.0,-2.5,-1.3
186,186,429,3,2002.0,3,30.73,32,124,201910,10,168000.0,-2.5,-1.3
187,187,429,4,2002.0,3,30.73,32,124,201910,10,44000.0,-2.5,-1.3
188,188,430,0,1002.0,3,30.73,32,260,201910,10,120000.0,-2.5,-1.3
189,189,430,3,2002.0,3,30.73,32,124,201910,10,120000.0,-2.5,-1.3
190,190,430,4,2002.0,3,30.73,32,124,201910,10,120000.0,-2.5,-1.3
191,191,431,0,1002.0,3,30.73,32,260,201910,10,18400.0,-2.5,-1.3
192,192,431,3,2002.0,3,30.73,32,124,201910,10,23400.0,-2.5,-1.3
193,193,431,4,2002.0,3,30.73,32,124,201910,10,11400.0,-2.5,-1.3
194,194,435,0,1002.0,3,30.73,32,260,201910,10,20000.0,-2.5,-1.3
195,195,435,3,2002.0,3,30.73,32,128,201910,10,20000.0,-2.5,-1.3
196,196,435,4,2002.0,3,30.73,32,128,201910,10,30000.0,-2.5,-1.3
197,197,436,0,1002.0,3,30.73,32,260,201910,10,20000.0,-2.5,-1.3
198,198,436,3,2002.0,3,30.73,32,128,201910,10,30000.0,-2.5,-1.3
199,199,436,4,2002.0,3,30.73,32,128,201910,10,20000.0,-2.5,-1.3
200,200,437,3,2002.0,3,30.73,33,124,201910,10,6000.0,-2.5,-1.3
201,201,438,3,2002.0,3,30.73,33,124,201910,10,6000.0,-2.5,-1.3
202,202,438,4,2002.0,3,30.73,33,124,201910,10,20.0,-2.5,-1.3
203,203,439,0,1002.0,3,30.73,33,260,201910,10,12000.0,-2.5,-1.3
204,204,439,3,2002.0,3,30.73,33,124,201910,10,12000.0,-2.5,-1.3
205,205,439,4,2002.0,3,30.73,33,124,201910,10,9000.0,-2.5,-1.3
206,206,440,0,1002.0,3,30.73,33,260,201910,10,3000.0,-2.5,-1.3
207,207,440,4,2002.0,3,30.73,33,124,201910,10,3020.0,-2.5,-1.3
208,208,441,0,1002.0,3,30.73,17,260,201910,10,21000.0,-2.5,-1.3
