,Unnamed: 0,MATNR,TYPE,VKORG,UKURS,MATKL,KUNNR,ERDAT,UNIT,MENGE,YOY,EAGRT
43313,43313,0434990917003H,ZDL1,1006.0,1.0,4S01,1004.00 ,202112,PC,200.0,21.9,19.8
44408,44408,0649-2464M35,YZX0,1006.0,1.0,6R010,100310.00 ,202112,PC,636.0,21.9,19.8
44569,44569,2340080001,YDL1,1006.0,1.0,211,1002.00 ,202112,PC,7678.0,21.9,19.8
44570,44570,2340080002,YDL1,1006.0,1.0,211,1002.00 ,202112,PC,6814.0,21.9,19.8
44571,44571,2340080003,YDL1,1006.0,1.0,211,1002.00 ,202112,PC,40914.0,21.9,19.8
45027,45027,0434990917003H,ZDL1,1006.0,1.0,4S01,1001.00 ,202201,PC,2000.0,16.7,13.4
46012,46012,0649-2464M35,YZX0,1006.0,1.0,6R010,100310.00 ,202201,PC,384.0,16.7,13.4
46166,46166,2340080001,YDL1,1006.0,1.0,211,1002.00 ,202201,PC,3233.0,16.7,13.4
46167,46167,2340080002,YDL1,1006.0,1.0,211,1002.00 ,202201,PC,3124.0,16.7,13.4
46168,46168,2340080003,YDL1,1006.0,1.0,211,1002.00 ,202201,PC,42326.0,16.7,13.4
46169,46169,2340080004,YDL1,1006.0,1.0,211,1002.00 ,202201,PC,1880.0,16.7,13.4
47538,47538,0649-2464M35,YZX0,1006.0,1.0,6R010,100310.00 ,202202,PC,469.0,32.4,32.2
47701,47701,2340080001,YDL1,1006.0,1.0,211,1002.00 ,202202,PC,7105.0,32.4,32.2
47702,47702,2340080002,YDL1,1006.0,1.0,211,1002.00 ,202202,PC,5023.0,32.4,32.2
47703,47703,2340080003,YDL1,1006.0,1.0,211,1002.00 ,202202,PC,13707.0,32.4,32.2
49412,49412,0649-2464M35,YZX0,1006.0,1.0,6R010,100310.00 ,202203,PC,648.0,20.4,21.3
49413,49413,0649-2551M41,YZX0,1006.0,1.0,6R010,100310.00 ,202203,PC,12.0,20.4,21.3
49414,49414,0649AAL0001,YZX0,1006.0,1.0,6R010,100310.00 ,202203,PC,100.0,20.4,21.3
49636,49636,2340010002,YDL1,1006.0,1.0,211,1002.00 ,202203,PC,2294.0,20.4,21.3
49637,49637,2340080001,YDL1,1006.0,1.0,211,1002.00 ,202203,PC,628.0,20.4,21.3
49638,49638,2340080002,YDL1,1006.0,1.0,211,1002.00 ,202203,PC,5878.0,20.4,21.3
49639,49639,2340080003,YDL1,1006.0,1.0,211,1002.00 ,202203,PC,26989.0,20.4,21.3
49640,49640,2340080004,YDL1,1006.0,1.0,211,1002.00 ,202203,PC,2385.0,20.4,21.3
51232,51232,0649-2464M35,YZX0,1006.0,1.0,6R010,100310.00 ,202204,PC,798.0,23.7,20.1
51233,51233,0649AAL0001,YZX0,1006.0,1.0,6R010,100310.00 ,202204,PC,100.0,23.7,20.1
51420,51420,2340010002,YDL1,1006.0,1.0,211,1002.00 ,202204,PC,4126.0,23.7,20.1
51421,51421,2340080001,YDL1,1006.0,1.0,211,1002.00 ,202204,PC,9509.0,23.7,20.1
51422,51422,2340080002,YDL1,1006.0,1.0,211,1002.00 ,202204,PC,682.0,23.7,20.1
51423,51423,2340080003,YDL1,1006.0,1.0,211,1002.00 ,202204,PC,19221.0,23.7,20.1
52977,52977,0649-2464M35,YZX0,1006.0,1.0,6R010,100310.00 ,202205,PC,821.0,25.5,18.6
53221,53221,2340010002,YDL1,1006.0,1.0,211,1002.00 ,202205,PC,1940.0,25.5,18.6
53222,53222,2340080001,YDL1,1006.0,1.0,211,1002.00 ,202205,PC,2149.0,25.5,18.6
53223,53223,2340080003,YDL1,1006.0,1.0,211,1002.00 ,202205,PC,18251.0,25.5,18.6
54871,54871,0649-2464M35,YZX0,1006.0,1.0,6R010,100310.00 ,202206,PC,581.0,24.7,22.7
55102,55102,2340010002,YDL1,1006.0,1.0,211,1002.00 ,202206,PC,4034.0,24.7,22.7
55103,55103,2340080001,YDL1,1006.0,1.0,211,1002.00 ,202206,PC,7104.0,24.7,22.7
55104,55104,2340080003,YDL1,1006.0,1.0,211,1002.00 ,202206,PC,7477.0,24.7,22.7
55105,55105,2340080005,YDL1,1006.0,1.0,211,1002.00 ,202206,PC,9429.0,24.7,22.7
56801,56801,0649-2464M35,YZX0,1006.0,1.0,6R010,100310.00 ,202207,PC,768.0,24.3,21.8
57016,57016,2340010002,YDL1,1006.0,1.0,211,1002.00 ,202207,PC,2328.0,24.3,21.8
57017,57017,2340080003,YDL1,1006.0,1.0,211,1002.00 ,202207,PC,21608.0,24.3,21.8
57018,57018,2340080005,YDL1,1006.0,1.0,211,1002.00 ,202207,PC,24594.0,24.3,21.8
58760,58760,0649-2464M35,YZX0,1006.0,1.0,6R010,100310.00 ,202208,PC,720.0,10.3,9.5
58761,58761,0649AAL0001,YZX0,1006.0,1.0,6R010,100310.00 ,202208,PC,120.0,10.3,9.5
58912,58912,2340010002,YDL1,1006.0,1.0,211,1002.00 ,202208,PC,2127.0,10.3,9.5
58913,58913,2340080001,YDL1,1006.0,1.0,211,1002.00 ,202208,PC,521.0,10.3,9.5
58914,58914,2340080003,YDL1,1006.0,1.0,211,1002.00 ,202208,PC,10707.0,10.3,9.5
58915,58915,2340080005,YDL1,1006.0,1.0,211,1002.00 ,202208,PC,28315.0,10.3,9.5
59428,59428,0434990917003H,ZDL1,1006.0,1.0,4S01,1001.00 ,202209,PC,1997.0,6.0,4.6
60657,60657,0649-2464M35,YZX0,1006.0,1.0,6R010,100310.00 ,202209,PC,683.0,6.0,4.6
60658,60658,0649AAL0001,YZX0,1006.0,1.0,6R010,100310.00 ,202209,PC,80.0,6.0,4.6
60912,60912,2340010002,YDL1,1006.0,1.0,211,1002.00 ,202209,PC,7286.0,6.0,4.6
60913,60913,2340080001,YDL1,1006.0,1.0,211,1002.00 ,202209,PC,600.0,6.0,4.6
60914,60914,2340080003,YDL1,1006.0,1.0,211,1002.00 ,202209,PC,6235.0,6.0,4.6
60915,60915,2340080005,YDL1,1006.0,1.0,211,1002.00 ,202209,PC,7111.0,6.0,4.6
62573,62573,0649-2464M35,YZX0,1006.0,1.0,6R010,100310.00 ,202210,PC,871.0,17.8,13.2
62752,62752,2340010002,YDL1,1006.0,1.0,211,1002.00 ,202210,PC,4022.0,17.8,13.2
62753,62753,2340080001,YDL1,1006.0,1.0,211,1002.00 ,202210,PC,6443.0,17.8,13.2
62754,62754,2340080003,YDL1,1006.0,1.0,211,1002.00 ,202210,PC,4401.0,17.8,13.2
62755,62755,2340080005,YDL1,1006.0,1.0,211,1002.00 ,202210,PC,7622.0,17.8,13.2
64409,64409,0649-2464M35,YZX0,1006.0,1.0,6R010,100310.00 ,202211,PC,318.0,1.8,-0.5
64410,64410,0649AAL0001,YZX0,1006.0,1.0,6R010,100310.00 ,202211,PC,60.0,1.8,-0.5
64598,64598,2340010002,YDL1,1006.0,1.0,211,1002.00 ,202211,PC,9320.0,1.8,-0.5
64599,64599,2340080001,YDL1,1006.0,1.0,211,1002.00 ,202211,PC,7518.0,1.8,-0.5
64600,64600,2340080005,YDL1,1006.0,1.0,211,1002.00 ,202211,PC,10534.0,1.8,-0.5
