VBELN,VKORG,KUNNR,CTLPC,WAERS,AMTBL
500000363,1002.00 ,1006.00 ,,TWD,0.00 
500000364,1002.00 ,2002.00 ,,USD,0.00 
500000365,1001.00 ,100118.00 ,R01,USD,0.00 
500000366,1005.00 ,100019.00 ,R01,USD,0.00 
500000367,1001.00 ,100118.00 ,R01,USD,0.00 
500000368,1003.00 ,100179.00 ,R01,USD,0.00 
500000369,1005.00 ,100013.00 ,R01,TWD,0.00 
500000370,1005.00 ,100018.00 ,R01,TWD,38802.00 
500000371,1001.00 ,100118.00 ,R01,USD,0.00 
500000372,1001.00 ,100118.00 ,R01,USD,0.00 
500000373,1001.00 ,100118.00 ,R01,USD,0.00 
500000374,1001.00 ,100118.00 ,R01,USD,0.00 
500000375,1001.00 ,100118.00 ,R01,USD,0.00 
500000376,1001.00 ,100118.00 ,R01,USD,0.00 
500000377,1001.00 ,100118.00 ,R01,USD,0.00 
500000378,1001.00 ,100118.00 ,R01,USD,0.00 
500000379,1001.00 ,100118.00 ,R01,USD,0.00 
500000380,1001.00 ,100118.00 ,R01,USD,0.00 
500000381,1001.00 ,100118.00 ,R01,USD,0.00 
500000382,1001.00 ,100118.00 ,R01,USD,0.00 
500000383,1001.00 ,100118.00 ,R01,USD,0.00 
500000384,1001.00 ,100118.00 ,R01,USD,0.00 
500000385,1001.00 ,100118.00 ,R01,USD,0.00 
500000386,1004.00 ,100290.00 ,R01,USD,0.00 
500000387,1006.00 ,1002.00 ,,TWD,0.00 
500000388,1006.00 ,100310.00 ,R01,TWD,0.00 
500000389,1002.00 ,1006.00 ,,TWD,0.00 
500000390,1001.00 ,100033.00 ,R01,USD,0.00 
500000391,1001.00 ,100118.00 ,R01,USD,0.00 
500000392,1003.00 ,100178.00 ,R01,USD,11856670.00 
500000393,1001.00 ,100118.00 ,R01,USD,0.00 
500000394,1001.00 ,100118.00 ,R01,USD,0.00 
500000395,1003.00 ,100178.00 ,R01,USD,15609.00 
500000396,2002.00 ,100208.00 ,R01,USD,0.00 
500000397,1005.00 ,100013.00 ,R01,TWD,0.00 
500000398,1007.00 ,100356.00 ,R01,TWD,0.00 
500000399,1001.00 ,100034.00 ,R01,USD,0.00 
500000400,1004.00 ,100280.00 ,R01,USD,0.00 
500000401,2002.00 ,100207.00 ,R01,USD,0.00 
500000402,1005.00 ,100018.00 ,R01,TWD,87828.00 
500000403,1005.00 ,100007.00 ,R01,TWD,29560.00 
500000404,1005.00 ,100016.00 ,R01,USD,0.00 
500000405,1002.00 ,2902.00 ,R99,USD,0.00 
500000406,1002.00 ,2902.00 ,R99,USD,0.00 
500000407,1002.00 ,2902.00 ,R99,USD,0.00 
500000408,1002.00 ,2902.00 ,R99,USD,0.00 
500000409,1005.00 ,100008.00 ,R01,TWD,0.00 
